step,split,loss,acc,ce,lr,error,sev1,sev2,sev3,sev4,sev5,adaptive_sharpness,hessian_trace,hessian_top_eigenvalue
0,train,1.8977782692664709,0.3116386217948718,1.8977782692664709,0.1,,,,,,,,,
0,val,1.5395385459899902,0.4319,,,0.5681,,,,,,,,
1,train,1.3805062196193598,0.4906650641025641,1.3805062196193598,0.09972609476841367,,,,,,,,,
1,val,1.2053683881759643,0.5697,,,0.4303,,,,,,,,
2,train,1.0482849850104405,0.6278245192307692,1.0482849850104405,0.09890738003669028,,,,,,,,,
2,val,1.1208524890899658,0.6204,,,0.37960000000000005,,,,,,,,
3,train,0.813679922085542,0.7146233974358974,0.813679922085542,0.09755282581475767,,,,,,,,,
3,val,0.9044785282135009,0.6912,,,0.30879999999999996,,,,,,,,
4,train,0.6733134321677379,0.7649038461538461,0.6733134321677379,0.09567727288213003,,,,,,,,,
4,val,0.7943817313194275,0.7169,,,0.2831,,,,,,,,
5,train,0.5915308191226079,0.7957932692307692,0.5915308191226079,0.09330127018922194,,,,,,,,,
5,val,0.653305542087555,0.7832,,,0.2168,,,,,,,,
6,train,0.5416033954192431,0.8130408653846154,0.5416033954192431,0.09045084971874737,,,,,,,,,
6,val,0.6554230386734009,0.7777,,,0.22230000000000005,,,,,,,,
7,train,0.5018165071041156,0.8264823717948718,0.5018165071041156,0.0871572412738697,,,,,,,,,
7,val,0.6242126629829406,0.793,,,0.20699999999999996,,,,,,,,
8,train,0.46958080048744494,0.8394431089743589,0.46958080048744494,0.0834565303179429,,,,,,,,,
8,val,0.6968280145645142,0.7793,,,0.2207,,,,,,,,
9,train,0.4456720838944117,0.8475560897435898,0.4456720838944117,0.07938926261462365,,,,,,,,,
9,val,0.50367530002594,0.8325,,,0.16749999999999998,,,,,,,,
10,train,0.41626356870700154,0.8563100961538461,0.41626356870700154,0.07499999999999998,,,,,,,,,
10,val,0.4782161141395569,0.8376,,,0.1624,,,,,,,,
11,train,0.38702568610509236,0.86796875,0.38702568610509236,0.07033683215379001,,,,,,,,,
11,val,0.5133945642948151,0.8294,,,0.17059999999999997,,,,,,,,
12,train,0.3657343802925868,0.8747195512820513,0.3657343802925868,0.06545084971874737,,,,,,,,,
12,val,0.5197922554016113,0.8269,,,0.17310000000000003,,,,,,,,
13,train,0.34395881234071196,0.8832932692307692,0.34395881234071196,0.06039558454088796,,,,,,,,,
13,val,0.4702627597808838,0.8452,,,0.15480000000000005,,,,,,,,
14,train,0.3210279315710068,0.8904847756410257,0.3210279315710068,0.05522642316338268,,,,,,,,,
14,val,0.5996342150688171,0.8198,,,0.18020000000000003,,,,,,,,
15,train,0.2986968687711618,0.898056891025641,0.2986968687711618,0.05000000000000001,,,,,,,,,
15,val,0.4396717153310776,0.8546,,,0.14539999999999997,,,,,,,,
16,train,0.27461817868244953,0.9049679487179487,0.27461817868244953,0.04477357683661733,,,,,,,,,
16,val,0.4167269073486328,0.8622,,,0.13780000000000003,,,,,,,,
17,train,0.24783865954631415,0.9147035256410256,0.24783865954631415,0.03960441545911203,,,,,,,,,
17,val,0.513493342256546,0.838,,,0.16200000000000003,,,,,,,,
18,train,0.2255617561057592,0.9223958333333333,0.2255617561057592,0.03454915028125263,,,,,,,,,
18,val,0.30551362130641935,0.8956,,,0.10440000000000005,,,,,,,,
19,train,0.1989778577708281,0.9338942307692307,0.1989778577708281,0.02966316784621,,,,,,,,,
19,val,0.3153987661361694,0.9,,,0.09999999999999998,,,,,,,,
20,train,0.1778498235803384,0.9389823717948718,0.1778498235803384,0.025000000000000012,,,,,,,,,
20,val,0.3322222677230835,0.8941,,,0.1059,,,,,,,,
21,train,0.14248649254441262,0.9506009615384615,0.14248649254441262,0.02061073738537635,,,,,,,,,
21,val,0.30852821187973023,0.8998,,,0.10019999999999996,,,,,,,,
22,train,0.11658866498141716,0.960556891025641,0.11658866498141716,0.016543469682057107,,,,,,,,,
22,val,0.26351239171028135,0.919,,,0.08099999999999996,,,,,,,,
23,train,0.08991990942412462,0.9702323717948718,0.08991990942412462,0.012842758726130301,,,,,,,,,
23,val,0.2579600754737854,0.9229,,,0.07709999999999995,,,,,,,,
24,train,0.06843106810672162,0.9784054487179488,0.06843106810672162,0.009549150281252635,,,,,,,,,
24,val,0.25300561618804934,0.9244,,,0.0756,,,,,,,,
25,train,0.05435653770915591,0.9827724358974359,0.05435653770915591,0.006698729810778067,,,,,,,,,
25,val,0.23559905738830567,0.9281,,,0.07189999999999996,,,,,,,,
26,train,0.04010877290215248,0.9881209935897436,0.04010877290215248,0.004322727117869953,,,,,,,,,
26,val,0.2338118021965027,0.9319,,,0.06810000000000005,,,,,,,,
27,train,0.029843045614707547,0.9916266025641025,0.029843045614707547,0.002447174185242324,,,,,,,,,
27,val,0.231779895734787,0.9332,,,0.06679999999999997,,,,,,,,
28,train,0.02653963473529961,0.9920673076923077,0.02653963473529961,0.0010926199633097158,,,,,,,,,
28,val,0.2281598303794861,0.9345,,,0.0655,,,,,,,,
29,train,0.025863094515023895,0.9931089743589744,0.025863094515023895,0.00027390523158633,,,,,,,,,
29,val,0.2274974346637726,0.9354,,,0.06459999999999999,,,,,,,,
29,eval_id,0.22749743509292603,0.9354,,,0.06459999999999999,,,,,,,,
29,eval_ood_mean,,0.7230453333333333,,,0.2769546666666667,0.8595266666666668,0.8043933333333333,0.7401,0.6649533333333333,0.5462533333333333,,,
0,geometry,,,,,,,,,,,0.04052622243762016,506.8628205798921,36.461856842041016
