step,split,loss,acc,kd,ce,lr,error,sev1,sev2,sev3,sev4,sev5,adaptive_sharpness,hessian_trace,hessian_top_eigenvalue
0,train,8.747207778539414,0.3746995192307692,9.488754589129718,2.0732886418318137,0.1,,,,,,,,,
0,val,2.1444201568603516,0.4921,,,,0.5079,,,,,,,,
1,train,5.830257572883215,0.5829927884615385,6.305468772007869,1.5533580827407347,0.09972609476841367,,,,,,,,,
1,val,1.9010455478668213,0.5847,,,,0.4153,,,,,,,,
2,train,3.990465584779397,0.7067708333333333,4.308468459814023,1.1284406159168634,0.09890738003669028,,,,,,,,,
2,val,1.3118086906433106,0.7041,,,,0.29590000000000005,,,,,,,,
3,train,3.057931377948859,0.7682892628205128,3.2970531604228874,0.9058361520369848,0.09755282581475767,,,,,,,,,
3,val,1.2406101892471313,0.7388,,,,0.2612,,,,,,,,
4,train,2.602562691003848,0.8006810897435898,2.8041436672210693,0.7883344716750659,0.09567727288213003,,,,,,,,,
4,val,0.9524585122585296,0.7822,,,,0.2178,,,,,,,,
5,train,2.291507346202166,0.8197315705128205,2.4675477306048075,0.7071444917947818,0.09330127018922194,,,,,,,,,
5,val,0.8781434371948242,0.8017,,,,0.19830000000000003,,,,,,,,
6,train,2.084820493368002,0.8333733974358974,2.2440665608797317,0.6516063917905857,0.09045084971874737,,,,,,,,,
6,val,1.2073904843330383,0.7404,,,,0.25960000000000005,,,,,,,,
7,train,1.8974728471193558,0.8456530448717948,2.04206723341575,0.5961238203140405,0.0871572412738697,,,,,,,,,
7,val,0.8431647317886353,0.8132,,,,0.18679999999999997,,,,,,,,
8,train,1.7843421229949363,0.8529647435897436,1.920198302085583,0.561636993327202,0.0834565303179429,,,,,,,,,
8,val,0.8482052492141724,0.809,,,,0.19099999999999995,,,,,,,,
9,train,1.6742965413973883,0.8620192307692308,1.8018983718676445,0.5258804721327929,0.07938926261462365,,,,,,,,,
9,val,0.6601008875846863,0.8373,,,,0.16269999999999996,,,,,,,,
10,train,1.5429652301164773,0.8715144230769231,1.660962702983465,0.48098839338009175,0.07499999999999998,,,,,,,,,
10,val,0.7187609867095948,0.8355,,,,0.16449999999999998,,,,,,,,
11,train,1.426284204232387,0.8799278846153846,1.5349119739654737,0.44863461622825035,0.07033683215379001,,,,,,,,,
11,val,0.5782486265182495,0.8574,,,,0.14259999999999995,,,,,,,,
12,train,1.3458367809271201,0.8865384615384615,1.4487504051281856,0.41961451302736236,0.06545084971874737,,,,,,,,,
12,val,0.7016917744636536,0.8392,,,,0.16080000000000005,,,,,,,,
13,train,1.2749705403279035,0.8935897435897436,1.3726140181223552,0.3961795105957068,0.06039558454088796,,,,,,,,,
13,val,0.7223686447143555,0.8425,,,,0.15749999999999997,,,,,,,,
14,train,1.1792872045284664,0.9004807692307693,1.2702569104157961,0.3605601290288644,0.05522642316338268,,,,,,,,,
14,val,0.5888562108039856,0.8602,,,,0.13980000000000004,,,,,,,,
15,train,1.0655619396613194,0.909395032051282,1.1481343700335576,0.32241035216511826,0.05000000000000001,,,,,,,,,
15,val,0.5295078146934509,0.8748,,,,0.12519999999999998,,,,,,,,
16,train,1.0092180835895048,0.9146434294871795,1.0881886227008624,0.29848345348086114,0.04477357683661733,,,,,,,,,
16,val,0.5614068652153015,0.8686,,,,0.13139999999999996,,,,,,,,
17,train,0.9292919773321885,0.9223557692307692,1.0026126108108422,0.26940650788064185,0.03960441545911203,,,,,,,,,
17,val,0.4465232814788818,0.8946,,,,0.10540000000000005,,,,,,,,
18,train,0.824744749451295,0.9305288461538461,0.8903271921170064,0.23450297661698782,0.03454915028125263,,,,,,,,,
18,val,0.44594219384193423,0.8906,,,,0.10940000000000005,,,,,,,,
19,train,0.7557268750973237,0.9393229166666667,0.8167664165680225,0.20637119009326665,0.02966316784621,,,,,,,,,
19,val,0.43553138027191163,0.8966,,,,0.10340000000000005,,,,,,,,
20,train,0.67422148615886,0.9459735576923077,0.7295883471385026,0.1759199118671509,0.025000000000000012,,,,,,,,,
20,val,0.36428597717285155,0.9108,,,,0.08919999999999995,,,,,,,,
21,train,0.6025544819159385,0.9539863782051282,0.652740761026358,0.15087811806454107,0.02061073738537635,,,,,,,,,
21,val,0.3495516924858093,0.912,,,,0.08799999999999997,,,,,,,,
22,train,0.5190149356157352,0.9612780448717949,0.563493179434385,0.11871085932526068,0.016543469682057107,,,,,,,,,
22,val,0.33344448285102846,0.9202,,,,0.07979999999999998,,,,,,,,
23,train,0.4529288863524413,0.9681089743589744,0.492348787570611,0.09814989748769082,0.012842758726130301,,,,,,,,,
23,val,0.2926108160018921,0.9254,,,,0.0746,,,,,,,,
24,train,0.39883977816655086,0.9729166666666667,0.4339384415974984,0.08295191402714222,0.009549150281252635,,,,,,,,,
24,val,0.2857055371284485,0.9272,,,,0.07279999999999998,,,,,,,,
25,train,0.35952746119254675,0.9755809294871794,0.3914562391929137,0.07216855245642365,0.006698729810778067,,,,,,,,,
25,val,0.2821761790275574,0.9289,,,,0.07110000000000005,,,,,,,,
26,train,0.3243378941447307,0.9779847756410256,0.3532609728666452,0.0640302608983639,0.004322727117869953,,,,,,,,,
26,val,0.2676094518184662,0.9303,,,,0.06969999999999998,,,,,,,,
27,train,0.3069251175110157,0.9794270833333333,0.33427849064270654,0.06074482545567055,0.002447174185242324,,,,,,,,,
27,val,0.2624574746131897,0.9323,,,,0.06769999999999998,,,,,,,,
28,train,0.2971035394913111,0.9802684294871795,0.32346204290023217,0.059877085673789944,0.0010926199633097158,,,,,,,,,
28,val,0.2624071095943451,0.9318,,,,0.06820000000000004,,,,,,,,
29,train,0.2936692842306235,0.9789863782051282,0.3193008310137651,0.0629854338363004,0.00027390523158633,,,,,,,,,
29,val,0.2628455369472504,0.9309,,,,0.06910000000000005,,,,,,,,
27,eval_id,0.2624574718475342,0.9323,,,,0.06769999999999998,,,,,,,,
27,eval_ood_mean,,0.7139306666666667,,,,0.2860693333333333,0.85356,0.7944533333333333,0.7299666666666667,0.6546666666666667,0.5370066666666666,,,
0,geometry,,,,,,,,,,,,0.03291973099112511,277.95944595336914,28.73369789123535
